Code,Country,Continent,Population
CHN,China,Asia,1277558000
IND,India,Asia,1013662000
BGD,Bangladesh,Asia,129155000
PAK,Pakistan,Asia,156483000
VNM,Vietnam,Asia,79832000
IRN,Iran,Asia,67702000
IRQ,Iraq,Asia,23115000
JPN,Japan,Asia,126714000
KOR,SouthKorea,Asia,46844000
THA,Thailand,Asia,61399000
MYA,Myanmar,Asia,45611000
UAE,UnitedArabEmirates,Asia,2441000
JOR,Jordan,Asia,5083000
AZE,Azerbaijan,Asia,7734000
TJK,Tajikistan,Asia,6188000
KGZ,Kyrgyzstan,Asia,4699000
LKA,SriLanka,Asia,18827000
MDV,Maldives,Asia,286000
PSE,Palestine,Asia,3101000
QAT,Qatar,Asia,599000
HKG,HongKong,Asia,6782000
MAC,Macao,Asia,473000
ATF,French Southern territories,Antarctica,0
MD,Heard Island and McDonald Islands,Antarctica,0
SGS,South Georgia and the South Sandwich Islands,Antarctica,0
BVT,Bouvet Island,Antarctica,0
COD,Congo,Africa,51654000
SDN,Sudan,Africa,29490000
DZA,Algeria,Africa,31471000
EGY,Egypt,Africa,68470000
NGA,Nigeria,Africa,111506000
ETH,Ethiopia,Africa,62565000 
ZAF,South Africa, Africa,40377000 
ZMB,Zambia,Africa,9169000
ZWE,Zimbabwe,Africa,11669000 
SOM,Somalia,Africa,10097000
UGA,Uganda,Africa,21778000 
MDG,Madagascar,Africa,15942000 
KEN,Kenya,Africa,30080000
BWA,Botswana,Africa,1622000 
MWI,Malawi,Africa,10925000
MUS,Mauritius,Africa,1158000
SWZ,Swaziland,Africa,1008000
DJI,Djibouti,Africa,638000
RWA,Rwanda,Africa,7733000
COM,Comoros,Africa,578000 
REU,Réunion,Africa,699000 
CPV,Cape Verde,Africa,428000 
BEN,Benin,Africa,6097000 
BFA,Burkina Faso,Africa,11937000 
GHA,Ghana,Africa,20212000 
GMB,Gambia,Africa,305000 
GIN,Guinea,Africa,7430000 
GNB,Guinea-Bissau,Africa,1213000
ERI,Eritrea,Africa,3850000
AGO,Angola,Africa,12878000
TZA,Tanzania,Africa,33517000
CIV,Côte d’Ivoire,Africa,14786000
TUN,Tunisia,Africa,9586000
MAR,Morocco,Africa,28351000
LBY,Libyan Arab Jamahiriya,Africa5,605000 
DZA,Algeria,Africa,31471000
